#,Company,Symbol,Weight,Price,Chg,% Chg
281,Microchip Technology Inc,MCHP,0.06%,59.57,1.09,(1.86%)
282,"Raymond James Financial, Inc.",RJF,0.06%,171.55,1.05,(0.62%)
283,Ansys Inc,ANSS,0.06%,360.36,3.73,(1.05%)
284,"Cardinal Health, Inc.",CAH,0.06%,129.30,0.55,(0.43%)
285,Vici Properties Inc.,VICI,0.06%,29.29,-0.16,(-0.54%)
286,"Wec Energy Group, Inc.",WEC,0.06%,97.31,-0.27,(-0.28%)
287,Take-Two Interactive Software Inc,TTWO,0.06%,183.82,-4.17,(-2.22%)
288,Tractor Supply Co,TSCO,0.06%,57.38,-0.09,(-0.16%)
289,Ebay Inc,EBAY,0.06%,64.75,0.87,(1.36%)
290,"Avalonbay Communities, Inc.",AVB,0.06%,213.80,-0.61,(-0.28%)
291,Costar Group Inc,CSGP,0.06%,74.38,0.37,(0.50%)
292,"Keysight Technologies, Inc.",KEYS,0.06%,173.17,0.45,(0.26%)
293,Xylem Inc,XYL,0.06%,121.58,-0.06,(-0.05%)
294,Fifth Third Bancorp,FITB,0.06%,43.85,-0.08,(-0.18%)
295,Godaddy Inc,GDDY,0.06%,207.19,2.89,(1.41%)
296,Nucor Corporation,NUE,0.06%,122.06,-0.03,(-0.02%)
297,Dow Inc.,DOW,0.06%,41.47,0.65,(1.59%)
298,"Ppg Industries, Inc.",PPG,0.06%,123.48,0.61,(0.50%)
299,State Street Corporation,STT,0.06%,97.54,0.37,(0.38%)
300,Mettler-Toledo International,MTD,0.05%,"1,335.29",10.61,(0.80%)
301,"Constellation Brands, Inc.",STZ,0.05%,179.50,0.54,(0.30%)
302,Fortive Corporation,FTV,0.05%,80.24,0.04,(0.05%)
303,"Global Payments, Inc.",GPN,0.05%,107.86,-0.66,(-0.61%)
304,Broadridge Financial Solutions Inc,BR,0.05%,236.76,1.81,(0.77%)
305,Synchrony Financial,SYF,0.05%,70.44,-0.05,(-0.07%)
306,Smurfit Westrock Plc,SW,0.05%,55.27,-0.08,(-0.14%)
307,Dover Corporation,DOV,0.05%,199.15,0.34,(0.17%)
308,Texas Pacific Land Corporation,TPL,0.05%,"1,405.30",-10.38,(-0.73%)
309,Carnival Corporation,CCL,0.05%,25.61,0.36,(1.43%)
310,"Church & Dwight Co., Inc.",CHD,0.05%,106.29,-0.41,(-0.38%)
311,"Corpay, Inc.",CPAY,0.05%,377.37,3.96,(1.06%)
312,Cdw Corporation,CDW,0.05%,197.49,3.19,(1.64%)
313,"Netapp, Inc",NTAP,0.05%,126.30,0.25,(0.20%)
314,"Nvr, Inc.",NVR,0.05%,"8,345.35",-36.15,(-0.43%)
315,The Kraft Heinz Company,KHC,0.05%,29.07,0.00,(0.00%)
316,Veralto Corporation,VLTO,0.05%,103.27,0.56,(0.55%)
317,T Rowe Price Group Inc,TROW,0.05%,113.38,-0.16,(-0.14%)
318,"West Pharmaceutical Services, Inc.",WST,0.05%,343.99,-3.88,(-1.12%)
319,"Tyler Technologies, Inc.",TYL,0.05%,593.47,7.44,(1.27%)
320,Halliburton Company,HAL,0.05%,27.97,-0.51,(-1.79%)
321,"Brown & Brown, Inc.",BRO,0.05%,105.23,0.04,(0.04%)
322,Ameren Corporation,AEE,0.05%,93.31,-0.04,(-0.04%)
323,Dte Energy Company,DTE,0.05%,119.51,-0.72,(-0.60%)
324,Hubbell Incorporated,HUBB,0.05%,453.79,-3.07,(-0.67%)
325,Huntington Bancshares Inc,HBAN,0.05%,16.90,0.04,(0.24%)
326,"Ventas, Inc.",VTR,0.05%,59.44,1.08,(1.85%)
327,Waters Corp,WAT,0.05%,412.80,4.45,(1.09%)
328,Archer Daniels Midland Company,ADM,0.05%,50.66,0.14,(0.28%)
329,Ppl Corporation,PPL,0.05%,32.74,0.08,(0.24%)
330,"Pultegroup, Inc.",PHM,0.05%,116.52,-0.37,(-0.32%)
331,Devon Energy Corporation,DVN,0.05%,36.45,-0.01,(-0.03%)
332,On Semiconductor Corp,ON,0.05%,56.26,0.23,(0.41%)
333,Teledyne Technologies Incorporated,TDY,0.05%,515.08,3.41,(0.67%)
334,Western Digital Corp.,WDC,0.05%,68.68,0.05,(0.07%)
335,"American Water Works Company, Inc",AWK,0.05%,121.81,0.13,(0.11%)
336,Equity Residential,EQR,0.05%,68.19,-0.19,(-0.28%)
337,Seagate Technology Holdings Plcs,STX,0.04%,108.42,0.24,(0.22%)
338,"Ptc, Inc",PTC,0.04%,189.07,1.14,(0.61%)
339,Edison International,EIX,0.04%,57.28,-1.01,(-1.73%)
340,"Warner Bros. Discovery, Inc. Series a",WBD,0.04%,10.28,0.23,(2.29%)
341,"Nrg Energy, Inc.",NRG,0.04%,110.54,0.19,(0.17%)
342,The Hershey Company,HSY,0.04%,149.89,-1.23,(-0.81%)
343,Regions Financial Corp.,RF,0.04%,24.26,-0.06,(-0.25%)
344,Atmos Energy Corporation,ATO,0.04%,139.56,-2.13,(-1.50%)
345,"Teradyne, Inc.",TER,0.04%,131.83,-2.97,(-2.20%)
346,Kellanova,K,0.04%,81.77,0.13,(0.16%)
347,International Flavors & Fragrances Inc.,IFF,0.04%,86.46,0.97,(1.13%)
348,"Zimmer Biomet Holdings, Inc.",ZBH,0.04%,111.01,1.29,(1.18%)
349,"Darden Restaurants, Inc.",DRI,0.04%,186.17,0.52,(0.28%)
350,Live Nation Entertainment Inc.,LYV,0.04%,139.18,0.64,(0.46%)
351,Zebra Technologies Corporation,ZBRA,0.04%,421.11,0.54,(0.13%)
352,Weyerhaeuser Company,WY,0.04%,29.94,0.18,(0.60%)
353,Cincinnati Financial Corp,CINF,0.04%,136.07,-1.94,(-1.41%)
354,Steris Plc,STE,0.04%,217.20,-1.38,(-0.63%)
355,"Leidos Holdings, Inc.",LDOS,0.04%,148.91,-12.20,(-7.57%)
356,Coterra Energy Inc.,CTRA,0.04%,29.23,0.05,(0.17%)
357,Packaging Corp of America,PKG,0.04%,239.24,-0.56,(-0.23%)
358,Sba Communications Corp,SBAC,0.04%,198.69,0.29,(0.15%)
359,"Expedia Group, Inc.",EXPE,0.04%,176.89,3.24,(1.87%)
360,Northern Trust Corp,NTRS,0.04%,109.54,2.15,(2.00%)
